ring_id,abuse_pattern_type,n_accounts,generation_seed,ring_base_timestamp,shared_devices,ring_merchant,ring_merchants,shared_ip,base_amount,ring_start_timestamp,linking_ip,linking_instrument,ring_customer_ids
RING_A_0000,pattern_a_shared_device,4,423286,2024-05-07T10:49:16,['DEV_00004951'],MER_00000238,,,,,,,
RING_A_0001,pattern_a_shared_device,8,17637,2024-12-22T09:16:04,['DEV_00008231'],MER_00000060,,,,,,,
RING_A_0002,pattern_a_shared_device,7,687357,2024-02-05T20:50:40,['DEV_00011331'],MER_00000091,,,,,,,
RING_A_0003,pattern_a_shared_device,7,31349,2023-03-28T04:17:15,['DEV_00004949'],MER_00001071,,,,,,,
RING_A_0004,pattern_a_shared_device,3,714724,2024-06-23T18:13:44,['DEV_00011043'],MER_00000390,,,,,,,
RING_A_0005,pattern_a_shared_device,4,378645,2024-01-04T16:47:27,['DEV_00001016'],MER_00000494,,,,,,,
RING_A_0006,pattern_a_shared_device,6,561282,2023-08-15T03:22:58,['DEV_00002038'],MER_00000803,,,,,,,
RING_A_0007,pattern_a_shared_device,8,203331,2023-07-14T00:16:05,['DEV_00003671'],MER_00000363,,,,,,,
RING_A_0008,pattern_a_shared_device,8,715121,2023-01-12T04:20:51,['DEV_00005957'],MER_00000521,,,,,,,
RING_A_0009,pattern_a_shared_device,5,16359,2024-03-04T22:59:42,['DEV_00011269'],MER_00001038,,,,,,,
RING_A_0010,pattern_a_shared_device,7,868384,2024-07-09T21:26:48,['DEV_00012773'],MER_00000838,,,,,,,
RING_A_0011,pattern_a_shared_device,8,259200,2024-09-29T16:45:56,['DEV_00001222'],MER_00000409,,,,,,,
RING_A_0012,pattern_a_shared_device,7,502060,2023-07-30T19:32:44,['DEV_00007885'],MER_00000003,,,,,,,
RING_A_0013,pattern_a_shared_device,6,60977,2024-07-08T19:35:50,['DEV_00003552'],MER_00000334,,,,,,,
RING_A_0014,pattern_a_shared_device,8,264623,2024-10-06T16:42:20,['DEV_00000482'],MER_00000104,,,,,,,
RING_A_0015,pattern_a_shared_device,4,755966,2024-06-08T01:11:40,['DEV_00004557'],MER_00000776,,,,,,,
RING_A_0016,pattern_a_shared_device,3,544253,2024-06-12T10:20:29,['DEV_00011982'],MER_00000132,,,,,,,
RING_A_0017,pattern_a_shared_device,6,649876,2023-08-17T20:07:17,['DEV_00010795'],MER_00000795,,,,,,,
RING_A_0018,pattern_a_shared_device,5,501376,2023-10-29T04:00:47,['DEV_00006584'],MER_00001018,,,,,,,
RING_A_0019,pattern_a_shared_device,3,249439,2023-09-22T04:34:16,['DEV_00000602'],MER_00001071,,,,,,,
RING_A_0020,pattern_a_shared_device,8,913654,2024-02-05T14:56:01,['DEV_00005425'],MER_00000191,,,,,,,
RING_A_0021,pattern_a_shared_device,4,507663,2024-03-17T21:13:42,['DEV_00005398'],MER_00000264,,,,,,,
