threshold,precision,recall,f1,fpr,fp_count,fp_cost_inr
0.05,0.1319,0.2989,0.183,0.0195,552,71760.0
0.06,0.1319,0.2989,0.183,0.0195,552,71760.0
0.07,0.1319,0.2989,0.183,0.0195,552,71760.0
0.08,0.1321,0.2989,0.1832,0.0195,552,71760.0
0.09,0.1323,0.2989,0.1834,0.0195,552,71760.0
0.1,0.1335,0.2989,0.1846,0.0193,546,70980.0
0.11,0.1335,0.2989,0.1846,0.0193,546,70980.0
0.12,0.1335,0.2989,0.1846,0.0193,546,70980.0
0.13,0.1346,0.2989,0.1856,0.0191,541,70330.0
0.14,0.1357,0.2989,0.1867,0.0189,535,69550.0
0.15,0.1436,0.2989,0.194,0.0177,501,65130.0
0.16,0.1467,0.2883,0.1945,0.0166,470,61100.0
0.17,0.1508,0.2883,0.198,0.0161,456,59280.0
0.18,0.1537,0.2883,0.2005,0.0158,447,58110.0
0.19,0.1561,0.2883,0.2025,0.0155,439,57070.0
0.2,0.1585,0.2883,0.2045,0.0152,430,55900.0
0.21,0.1601,0.2883,0.2058,0.015,424,55120.0
0.22,0.162,0.2883,0.2074,0.0148,419,54470.0
0.23,0.1633,0.2883,0.2085,0.0147,416,54080.0
0.24,0.1598,0.2776,0.2029,0.0145,410,53300.0
0.25,0.1674,0.2776,0.2088,0.0137,388,50440.0
0.26,0.1693,0.2669,0.2072,0.013,368,47840.0
0.27,0.1745,0.2633,0.2099,0.0124,351,45630.0
0.28,0.1827,0.2633,0.2157,0.0117,331,43030.0
0.29,0.1888,0.2633,0.2199,0.0112,317,41210.0
0.3,0.212,0.2633,0.2349,0.0097,275,35750.0
0.31,0.241,0.2633,0.2517,0.0082,232,30160.0
0.32,0.2587,0.2633,0.261,0.0075,212,27560.0
0.33,0.2782,0.2633,0.2706,0.0068,192,24960.0
0.34,0.2984,0.2633,0.2798,0.0061,173,22490.0
0.35,0.3176,0.2633,0.2879,0.0056,158,20540.0
0.36,0.1098,0.0641,0.0809,0.0052,147,19110.0
0.37,0.1154,0.0641,0.0824,0.0049,139,18070.0
0.38,0.1111,0.0569,0.0753,0.0045,127,16510.0
0.39,0.1159,0.0569,0.0764,0.0043,122,15860.0
0.4,0.1185,0.0569,0.0769,0.0042,119,15470.0
0.41,0.126,0.0569,0.0784,0.0039,110,14300.0
0.42,0.1322,0.0569,0.0796,0.0037,105,13650.0
0.43,0.1053,0.0427,0.0608,0.0036,102,13260.0
0.44,0.1121,0.0427,0.0619,0.0034,96,12480.0
0.45,0.1165,0.0427,0.0625,0.0032,91,11830.0
0.46,0.044,0.0142,0.0215,0.0031,88,11440.0
0.47,0.0444,0.0142,0.0216,0.003,85,11050.0
0.48,0.046,0.0142,0.0217,0.0029,82,10660.0
0.49,0.0476,0.0142,0.0219,0.0028,79,10270.0
0.5,0.0494,0.0142,0.0221,0.0027,76,9880.0
0.51,0.0533,0.0142,0.0225,0.0025,71,9230.0
0.52,0.0541,0.0142,0.0225,0.0025,71,9230.0
0.53,0.0548,0.0142,0.0226,0.0024,68,8840.0
0.54,0.058,0.0142,0.0229,0.0023,65,8450.0
0.55,0.0597,0.0142,0.023,0.0022,62,8060.0
0.56,0.0667,0.0142,0.0235,0.002,57,7410.0
0.57,0.0727,0.0142,0.0238,0.0018,51,6630.0
0.58,0.0755,0.0142,0.024,0.0017,48,6240.0
0.59,0.0816,0.0142,0.0242,0.0016,45,5850.0
0.6,0.0851,0.0142,0.0244,0.0015,42,5460.0
0.61,0.0714,0.0107,0.0186,0.0014,40,5200.0
0.62,0.0789,0.0107,0.0188,0.0012,34,4420.0
0.63,0.0345,0.0036,0.0065,0.001,28,3640.0
0.64,0.0,0.0,0.0,0.0008,23,2990.0
0.65,0.0,0.0,0.0,0.0008,23,2990.0
0.66,0.0,0.0,0.0,0.0007,20,2600.0
0.67,0.0,0.0,0.0,0.0007,20,2600.0
0.68,0.0,0.0,0.0,0.0007,20,2600.0
0.69,0.0,0.0,0.0,0.0006,17,2210.0
0.7,0.0,0.0,0.0,0.0006,17,2210.0
0.71,0.0,0.0,0.0,0.0005,14,1820.0
0.72,0.0,0.0,0.0,0.0005,14,1820.0
0.73,0.0,0.0,0.0,0.0003,8,1040.0
0.74,0.0,0.0,0.0,0.0002,6,780.0
0.75,0.0,0.0,0.0,0.0001,3,390.0
0.76,0.0,0.0,0.0,0.0001,3,390.0
0.77,0.0,0.0,0.0,0.0,0,0.0
0.78,0.0,0.0,0.0,0.0,0,0.0
0.79,0.0,0.0,0.0,0.0,0,0.0
0.8,0.0,0.0,0.0,0.0,0,0.0
0.81,0.0,0.0,0.0,0.0,0,0.0
0.82,0.0,0.0,0.0,0.0,0,0.0
0.83,0.0,0.0,0.0,0.0,0,0.0
0.84,0.0,0.0,0.0,0.0,0,0.0
0.85,0.0,0.0,0.0,0.0,0,0.0
0.86,0.0,0.0,0.0,0.0,0,0.0
0.87,0.0,0.0,0.0,0.0,0,0.0
0.88,0.0,0.0,0.0,0.0,0,0.0
0.89,0.0,0.0,0.0,0.0,0,0.0
0.9,0.0,0.0,0.0,0.0,0,0.0
0.91,0.0,0.0,0.0,0.0,0,0.0
0.92,0.0,0.0,0.0,0.0,0,0.0
0.93,0.0,0.0,0.0,0.0,0,0.0
0.94,0.0,0.0,0.0,0.0,0,0.0
